User1,User2,Action
Breznican,Breznican,Tweet
mmikrib,mmikrib,Tweet
mmikrib,Breznican,Retweet
deIiveryboy,deIiveryboy,Tweet
ccrterminus,ccrterminus,Tweet
ccrterminus,deIiveryboy,Retweet
funder,funder,Tweet
AngryLogician,AngryLogician,Tweet
AngryLogician,funder,Retweet
1913Facts,1913Facts,Tweet
1913Facts,EBONYMag,Reply
scambyarussian,scambyarussian,Tweet
Heleneafernande,Heleneafernande,Tweet
Heleneafernande,scambyarussian,Retweet
lorengrush,lorengrush,Tweet
IBleedGandB,IBleedGandB,Tweet
IBleedGandB,lorengrush,Retweet
JohnKollm,JohnKollm,Tweet
JohnKollm,briangillespie,Reply
JohnKollm,JoeNBC,Mention
13Clarity,13Clarity,Tweet
13Clarity,da13thsun,Reply
virendersehwag,virendersehwag,Tweet
senthamarai34,senthamarai34,Tweet
senthamarai34,virendersehwag,Retweet
beltrn_camila,beltrn_camila,Tweet
benshapiro,benshapiro,Tweet
18mjohnston18,18mjohnston18,Tweet
18mjohnston18,benshapiro,Retweet
WayAllDay,WayAllDay,Tweet
RaveenTheDream,RaveenTheDream,Tweet
RaveenTheDream,WayAllDay,Retweet
CLandreau83,CLandreau83,Tweet
CLandreau83,TEN_GOP,Reply
CLandreau83,Nix_km,Mention
Alifaith55,Alifaith55,Tweet
bizacco,bizacco,Tweet
bizacco,Alifaith55,Retweet
mattmfm,mattmfm,Tweet
iwrotegudomelet,iwrotegudomelet,Tweet
iwrotegudomelet,mattmfm,Retweet
peterdaou,peterdaou,Tweet
foodiepatguelph,foodiepatguelph,Tweet
foodiepatguelph,peterdaou,Retweet
JeffreyLuscombe,JeffreyLuscombe,Tweet
IMPL0RABLE,IMPL0RABLE,Tweet
kathysgallery,kathysgallery,Tweet
kathysgallery,IMPL0RABLE,Retweet
thomas_violence,thomas_violence,Tweet
Benjaminister,Benjaminister,Tweet
Benjaminister,thomas_violence,Retweet
saviorsivan,saviorsivan,Tweet
loosenuptrees,loosenuptrees,Tweet
loosenuptrees,saviorsivan,Retweet
aaronpellowski,aaronpellowski,Tweet
bigsexy_tote,bigsexy_tote,Tweet
bigsexy_tote,aaronpellowski,Retweet
bigsexy_tote,politicususa,Mention
mtracey,mtracey,Tweet
GingerMcFall,GingerMcFall,Tweet
GingerMcFall,mtracey,Retweet
untimelygamer,untimelygamer,Tweet
BebopSamurai,BebopSamurai,Tweet
BebopSamurai,untimelygamer,Retweet
FoxNews,FoxNews,Tweet
snowmoonlanding,snowmoonlanding,Tweet
snowmoonlanding,FoxNews,Retweet
sacca,sacca,Tweet
urbanstomach,urbanstomach,Tweet
urbanstomach,sacca,Retweet
kinni00,kinni00,Tweet
vision835,vision835,Tweet
vision835,kinni00,Retweet
riotwomennn,riotwomennn,Tweet
nfalco1,nfalco1,Tweet
nfalco1,riotwomennn,Retweet
FranciscoFCB97,FranciscoFCB97,Tweet
orangedouche,orangedouche,Tweet
orangedouche,funder,Reply
nkarbz,nkarbz,Tweet
nkarbz,orangedouche,Retweet
nkarbz,funder,Mention
SenSanders,SenSanders,Tweet
GraceanneParks,GraceanneParks,Tweet
GraceanneParks,SenSanders,Retweet
mhcastrillon,mhcastrillon,Tweet
Breznican,Breznican,Tweet
hellohappy_time,hellohappy_time,Tweet
hellohappy_time,Breznican,Retweet
McJesse,McJesse,Tweet
usagiguk,usagiguk,Tweet
usagiguk,McJesse,Retweet
JayWhiss,JayWhiss,Tweet
TeaPainUSA,TeaPainUSA,Tweet
mditt1129,mditt1129,Tweet
mditt1129,TeaPainUSA,Retweet
mikandynothem,mikandynothem,Tweet
CuseFan3,CuseFan3,Tweet
CuseFan3,mikandynothem,Retweet
CuseFan3,Joy_Villa,Mention
Veteran4Trump,Veteran4Trump,Tweet
MrMichaelMolloy,MrMichaelMolloy,Tweet
MrMichaelMolloy,Veteran4Trump,Retweet
McJesse,McJesse,Tweet
BossDonJaee,BossDonJaee,Tweet
BossDonJaee,McJesse,Retweet
spradlinok,spradlinok,Tweet
spradlinok,PeanutArbuckle3,Reply
spradlinok,mary122514,Mention
spradlinok,BBC,Mention
spradlinok,nytimes,Mention
thehill,thehill,Tweet
LaGrande97,LaGrande97,Tweet
LaGrande97,thehill,Retweet
TrumpysTaxes,TrumpysTaxes,Tweet
TrumpysTaxes,ericgarland,Reply
BernieSanders,BernieSanders,Tweet
DebiMossScheler,DebiMossScheler,Tweet
DebiMossScheler,BernieSanders,Retweet
BraddJaffy,BraddJaffy,Tweet
BraddJaffy,BraddJaffy,Reply
Joey2196,Joey2196,Tweet
Joey2196,BraddJaffy,Retweet
Great_Wookiee,Great_Wookiee,Tweet
ms_erika74,ms_erika74,Tweet
ms_erika74,RealRandomHero,Reply
matthew_d_green,matthew_d_green,Tweet
ssstraub,ssstraub,Tweet
ssstraub,matthew_d_green,Retweet
America_1st_,America_1st_,Tweet
cdonbr,cdonbr,Tweet
cdonbr,America_1st_,Retweet
matthew_d_green,matthew_d_green,Tweet
DiChristine,DiChristine,Tweet
DiChristine,matthew_d_green,Retweet
LisaMiwa,LisaMiwa,Tweet
LisaMiwa,advocatingasd,Reply
Warrior4Victory,Warrior4Victory,Tweet
Warrior4Victory,LisaMiwa,Retweet
Warrior4Victory,advocatingasd,Mention
JohnnieOil,JohnnieOil,Tweet
frehoula,frehoula,Tweet
frehoula,JohnnieOil,Retweet
McJesse,McJesse,Tweet
agizzle357,agizzle357,Tweet
