Word,Frequency,Topic
boycott,77.01449685,Boycott
launched,55.00148131,Founding Story
2017,31.00096535,
beer,28.00402783,Beer
times,26.00039945,
washington,26.00039945,Politics
trump,24.00434406,Politics
hard,24.00121501,
boycotting,23.01463001,Boycott
people,23.00309577,
youtube,20.00093206,
immigrant,18.04137679,Immigration
boycottbudweiser,18.00269632,Boycott
“born,,
way”,,
like,17.00757298,
immigrants,16.00079891,Immigration
ad,14.04289138,
immigration,14.00699045,Immigration
washtimes,14.00089877,
best,13.8881695,
liked,13.00003329,
budweiser’s,,
story,12.01041909,Founding Story
video,12.00003329,
supporters,11.00417762,
great,11.0010985,
one,11.00064911,
amp,11.00009986,
company,10.01414733,Founding Story
going,10.00016644,
much,10.00016644,
nancyrichmond,9.000166439,
political,9.000149795,Politics
leadersgetsocial,9.000133151,
loved,9.000049932,
're,8.01626111,
donald,8.004011185,Politics
drink,8.000748976,Beer
are…,,
social,8,
good,8,
win,7.887453813,
forever,7.887453813,
boycottbudwiser,7.0281948,Boycott
'm,7.004027829,
think,7.00254652,
worldnetdaily,7.001198362,
snowflakes,7.001065211,Politics
love,7.000682401,
mad,7.000449386,
fans,7.000133151,
hate,7.000133151,
america,7.00008322,Immigration
drinking,7.000049932,Beer
see,7.000033288,
year,7.000016644,
full,7,
tribute,7,
way,6.000316234,
right,6.000266303,
ads,6.000166439,
goes,6,
justice,6,
wrong,5.020172431,
founder,5.011467661,Founding Story
legal,5.003828102,
liberals,5.000499318,Politics
still,5.000199727,
made,5.00008322,
conservativenews,5.000066576,Politics
bud,5.000049932,Beer
really,5.000049932,
getting,5.000033288,
came,5.000033288,
companies,5.000033288,
😭😍,,
roots,4.01001964,Founding Story
us,4.00925402,
germany,4.00925402,Immigration
grade,4.006790719,
jabroni,4.006790719,
'll,4.003828102,
upset,4.001963983,
gop,4.000732332,Politics
lol,4.000366166,
making,4.000316234,
born,4.000299591,Founding Story
r,4.000266303,
guy,4.000249659,
superbowl2017,4.000099864,
youre,4.000066576,
maga,4.000049932,Politics
dog,4.000033288,
1,4.000033288,
want,4.000033288,
thought,4.000033288,
growing,4.000033288,
buy,4.000016644,
clydesdales,4.000016644,
sb,4.000016644,
got,4,
guys,4,
ignorant,4,
actually,4,
favorite,4,
thisbudsforyou,4,
thequotetoday,4,
😍😭😍,,
spelled,3.020172431,
tells,3.009387171,
journey,3.009337239,
adolphus,3.00925402,
busch,3.00925402,
commercial…,,
know,3.002646383,
don’t,,
american,3.001581172,
hilarious,3.000965347,
remember,3.000882128,
family,3.000882128,
triggered,3.000416098,
also,3.000366166,
depicting,3.000299591,
literally,3.000133151,
conservatives,3.000133151,
thanks,3.000133151,
tastes,3.000099864,
watch,3.00008322,
commerci…,,
due,3.000066576,
man,3.000049932,
every,3.000033288,
inspired,3.000033288,
group,3.000033288,
german,3.000033288,
claim,3.000033288,
nice,3.000033288,
joins,3.000033288,
used,3.000033288,
time,3.000033288,
wo,3.000016644,
even,3.000016644,
go,3.000016644,
bet,3,
new,3,
history,3,
bad,3,
please,3,
awesome,3,
get,3,
world,3,
warrior,3,
11-Sep,3,
make,3,
markdice,3,
always,3,
everyone,3,
funny,3,
saw,3,
says,2.022718951,
expert,2.022718951,
fiction,2.022718951,
voxdotcom,2.01001964,
ya,2.006474485,
immigration-themed,2.004427283,
showed,2.003828102,
instead,2.002646383,
real,2.002446656,
behind,2.002196997,
yes,2.001730968,
let,2.001730968,
realdonaldtrump,2.001031923,
trend,2.00093206,
taste,2.000682401,
piss,2.000665757,
safe,2.000366166,
bitch,2.000366166,
spaces,2.000366166,
whiny,2.000366166,
offends,2.000366166,
positive,2.000299591,
light,2.000299591,
a…,,
http…,,
//t.c…,,
t…,,
thinking,2.000183083,
sb51,2.000133151,
sucked,2.000133151,
//t.co/btd6avpfop,2.000099864,
//t.co/emnp5bf4wl,2.000099864,
//t.co/nn4ea22sxq,2.000099864,
untrue,2.000099864,
illegals,2.000099864,
//t.co/cjk5mp7av4,2.000099864,
//t.co/tfzxadzjkb,2.000066576,
niro,2.000066576,
newsday,2.000066576,
//t.co/xmjafctre6,2.000066576,
//t.co/vnuy2498qm,2.000066576,
founders,2.000066576,
appealed,2.000066576,
kia,2.000066576,
emotional,2.000066576,
kianow,2.000066576,
bornthehardway,2.000066576,
//t.co/xd5u6gmjud,2.000066576,
//t.co/btrj3jhsnk,2.000066576,
driving,2.000033288,
p*ss,2.000033288,
take,2.000033288,
//t.co/7gbnaudjig,2.000033288,
//t.co/sksbomyxyl,2.000033288,
//t.co/isphd89act,2.000033288,
//t.co/q56igfasyg,2.000033288,
job,2.000033288,
oh,2.000033288,
banned,2.000033288,
comments,2.000033288,
shouting,2.000033288,
//t.co/a3fmrwvc4g,2.000033288,
ppl,2.000033288,
movement,2.000033288,
//t.co/1ihknrrjsk,2.000033288,
csvj04,2.000033288,
emotion,2.000033288,
expedia,2.000033288,
//t.co/gxvleo0lqk,2.000033288,
promote,2.000033288,
entire,2.000033288,
saying,2.000033288,
ivanka,2.000033288,
hear,2.000033288,
//t.co/febq67299k,2.000033288,
washtime,2.000033288,
//t.co/ab9njehmlc,2.000033288,
//t.co/1gkrhvysvp,2.000033288,
reason,2.000033288,
//t.co/qatimuaria,2.000033288,
office,2.000033288,
gem,2.000033288,
warren,2.000033288,
//t.co/mucjpwypff,2.000033288,
//t.co/berfbfkdnh,2.000033288,
flack,2.000033288,
look,2.000033288,
needs,2.000033288,
sbowl,2.000033288,
calling,2.000016644,
gon,2.000016644,
na,2.000016644,
fact,2.000016644,
//t.co/pt8aqnlxte,2,
success,2,
2011,2,
fire,2,
exclusively,2,
illegal,2,
stamped,2,
haters,2,
makes,2,
built,2,
coke,2,
icmktg,2,
took,2,
message,2,
keep,2,
