Word,Frequency,Topic
sexy,52.52638139,Sexy Mr. Clean
new,47.51987259,Sexy Mr. Clean
best,35.03157457,
uncomfortable,32.00304667,Awkward
like,30.00110788,
😂,,
favorite,27.19013987,
people,26.01371001,The Couple
'm,26.00235424,
dirty,24.00332364,Cleaning
still,24.00069242,
lol,22.00775516,Humor
saw,20.02354245,
one,20.00263121,
got,19.00318515,
feeling,17.00401606,
think,16.00609334,
funny,16.00124636,Humor
makes,16.00069242,
made,16.00013849,
amp,15.02160366,
ad,15,
commercials,14.02188063,
sb51,13.00124636,
😂😂,,
last,13.00083091,
love,13.00055394,
u,13.00027697,
far,12.00207727,
seen,12.00193879,
night,12.00096939,
oh,12.00096939,
time,12.00069242,
get,12.00013849,
really,12,
youtube,12,
said,11.02922033,
twitter,11.02049578,
cleaning,11.00415455,Cleaning
sexual,11.00415455,Sexy Mr. Clean
watching,11.00360061,
yesterday,11.00249273,
want,11.00083091,
meme,10.0128791,Humor
thought,10.00152333,
scstate_rys17,10.00138485,
fuck,10.00083091,
thinking,10.00069242,
feel,10.00069242,
right,10.00069242,
2017,10.00027697,
ca,10.00013849,
ypsportschat,10,
ever,9.026589115,
thing,9.025204265,
seeing,9.008863038,
know,9.003600609,
😳”,,
“this,,
⚡️,,
've,9.001523335,
look,9.000692425,
see,9.000692425,
watch,9.00027697,
video,9,
trolling,8.020495776,Humor
watched,8.013848497,
men,8.003462124,The Couple
wife,8.002354245,The Couple
damn,8.00138485,
yo,8.001246365,
house,8.000692425,Cleaning
gt,8.00055394,
realmrclean,8.00027697,Sexy Mr. Clean
need,8,
untj4270,8,
liked,8,
google,8,
talking,7.507131976,
woman,7.012186678,The Couple
truly,7.009001523,
nsfw,7.009001523,Sexy Mr. Clean
absurd,7.009001523,Awkward
hilarious,7.008309098,Humor
way,7.00249273,
guy,7.002354245,The Couple
good,7.00221576,
creepy,7.00083091,Awkward
y'all,7.000692425,
man,7.00055394,The Couple
😳,,
ass,7.000415455,Sexy Mr. Clean
great,7.00027697,
loved,7.000138485,
anyone,7.000138485,
hot,7.000138485,Sexy Mr. Clean
sb,7.000138485,
lmao,7.000138485,
though,6.071181277,
gay,6.017310622,Sexy Mr. Clean
brazzers,6.013294558,
may,6.010801828,
inspired,6.010801828,
cleaner,6.009416978,Cleaning
