Word,Frequency,Topic
beautiful,73.06160531,Content
people,63.00154757,Diversity/ Unity
old,52.00145829,Recycled
america,51.04205232,Content
years,39.0005357,Recycled
3,36.00133925,Recycled
like,33.00029761,
'america,29.00011904,Content
mad,27.00032737,
already,26,
earns,25.00011904,
money,25,
raves,24.00011904,
trump,23.0319931,Politics
amp,22.03508824,
ew,22.0187792,
ad,21.0456534,
ran,21.00020833,Recycled
think,20.4286182,
diversity,20.07234904,Diversity/ Unity
languages,20.03985,Diversity/ Unity
buy,20.00032737,
drink,19.00008928,
mstheaker,17.00011904,
sb51,16.00675575,
much,16.00669623,
also,16.00124996,
diversity-themed,16.00017857,Diversity/ Unity
pepsi,15.00604149,Other Brands
one,15.00124996,Diversity/ Unity
language,15.00029761,Diversity/ Unity
want,15.00011904,
made,14.03008839,
got,14.02821345,
snowflakes,14.00142853,Politics
really,14.00056546,
2014,14.00023809,
every,13.23910003,
boycott,13.03529657,Boycott
world,13.02770751,Diversity/ Unity
year,13.00139877,Recycled
'm,13.00127972,
aired,13.00032737,Recycled
last,13.00005952,Recycled
different,12.03883813,Diversity/ Unity
would,12.00023809,
cobbaplang,12.00011904,
good,11.01005922,
get,11.00928544,
cola,11.00636886,
budweiser,11.00056546,Other Brands
ago,11.00047618,
lumber,11.00014881,Other Brands
everyone,11.00005952,Diversity/ Unity
political,10.00696408,Politics
twitter,10.00663671,
singing,10.00437487,Content
2,10.00041665,
84,10.00011904,
upset,10.00002976,
anyone,9.238832178,
great,9.065771852,
us,9.059522038,
english,9.011338948,Diversity/ Unity
praise,9.006636707,
received,9.006636707,
best,9.001130919,
love,9.000357132,
offended,9.000357132,Politics
even,9.000238088,
right,9.000238088,
youtube,9,
damn,8.51313949,
coca,8.006309336,
loved,8.002232076,
boycottcoke,8.000416654,Boycott
products,8.000386893,Content
sung,8.000327371,Content
hurt,8.000238088,
mean,8.000238088,
anything,8.000208327,
time,8.000029761,
know,8.000029761,
oh,7.035296569,
see,7.005505789,
powerful,7.004345109,
coca-cola’s,,
joe,7.001845183,
lol,7.000803548,
national,7.000624981,Politics
say,7.000476176,
american,7.00029761,Politics
first,7.000238088,
liked,7.000208327,
getting,7.000148805,
many,7.000089283,
better,7.000059522,
actually,7.000059522,
'll,7,
night,7,
still,7,
well,7,
official,7,
diet,7,
boycotting,7,Boycott
remember,6.239070266,
…,,
make,6.029731258,
children,6.027528943,
celebrated,6.004345109,Diversity/ Unity
go,6.003184429,
conservatives,6.001815422,Politics
anthem,6.001488051,Content
without,6.000654742,
drinking,6.000357132,
sing,6.000208327,Content
pissed,6.000208327,
ppl,6.000178566,
supporters,6.000089283,
na,6.000059522,
wrong,6.000059522,
marvel,6.000059522,
today,6.000059522,
sbdeca,6.000059522,
message,6,
airs,6,
're,6,
shows,6,
c0nvey,6,
break,5.239040505,
unity,5.029761019,Diversity/ Unity
big,5.002797536,
game,5.002440404,
ever,5.001249963,
u,5.000833309,
bud,5.00029761,
fucking,5.000267849,
cry,5.000119044,
losing,5.000119044,
'd,5.000089283,
thought,5.000059522,
never,5.000059522,
mashable,5.000059522,
bc,5.000059522,
audi,5.000059522,Other Brands
call,5.000029761,
saw,5.000029761,
going,5.000029761,
new,5.000029761,
showed,5.000029761,
thank,5,
51,5,
doritos,4.512246659,
missed,4.512246659,
maybe,4.035028719,
together,4.02276718,
boycotts,4.009077111,
white,4.00642838,
seeing,4.003452278,
greene,4.001666617,
ads,4.001220202,
god,4.001190441,
hawhawhaw,4.000476176,
trumbleites,4.000476176,
diverse,4.000416654,
racists,4.000327371,
snowflake,4.000327371,
commercials,4.000327371,
red,4.00029761,
hey,4.000267849,
guys,4.000267849,
poor,4.000238088,
boy,4.000178566,
stupid,4.000178566,
watch,4.000178566,
sell,4.000119044,
appeals,4.000059522,
1,4.000059522,
live,4.000059522,
4,4.000059522,
nothing,4.000059522,
country,4.000059522,
pathos,4.000059522,
gave,4.000059522,
liberals,4.000059522,
minds,4.000059522,
definitely,4.000059522,
gets,4.000029761,
came,4.000029761,
others,4,
support,4,
makes,4,
done,4,
crying,4,
usa,4,
ca,4,
immigration,4,
sure,4,
whitney,4,
gon,4,
butt,4,
hd,4,
thing,4,
come,3.238861939,
hope,3.03651677,
back,3.027558704,
angry,3.027528943,
imagine,3.027528943,
could,3.011517514,
fuck,3.008779501,
webdawg72,3.005922443,
y'all,3.005416505,
ban,3.001339246,
special,3.001249963,
safe,3.001011875,
2017,3.000416654,
maga,3.000386893,
republicans,3.000357132,
easily,3.000357132,
liberal,3.000357132,
seem,3.000357132,
spanish,3.00029761,
green,3.000267849,
caught,3.000267849,
watching,3.000238088,
hard,3.000178566,
lot,3.000148805,
needs,3.000148805,
muslims,3.000119044,
literally,3.000119044,
food,3.000089283,
teach,3.000089283,
land,3.000059522,
almost,3.000059522,
take,3.000059522,
racist,3.000059522,
sodas,3.000059522,
bought,3.000059522,
cokecola,3.000059522,
crazy,3.000059522,
real,3.000059522,
saying,3.000029761,
favorite,3.000029761,
hate,3.000029761,
brought,3.000029761,
spoke,3.000029761,
b…,,
americans,3.000029761,
forget,3.000029761,
let,3,
inclusion,3,
stands,3,
wait,3,
stop,3,
movies,3,
georgetakei,3,
ur,3,
've,3,
day,3,
beautiful’,,
houston,3,
seen,3,
feelings,3,
likes,3,
video,3,
dont,3,
84lumber,3,
sb,3,
something,3,
beer,3,
immigrants,3,
multiple,3,
believe,3,
soda,3,
weekly,3,
especially,3,
apparently,3,
retweeted,3,
dietcoke,3,
originally,3,
n_spidey,3,
folks,3,
everybody,3,
went,3,
entertainment,3,
racism,3,
‘america,,
used,2.23862385,
kim_is__bored,2.036308443,
trumpsters,2.036308443,
tonyposnanski,2.034969197,
deplorables,2.034969197,
o…,,
celebrating,2.029761019,
co…,,
lrihendry,2.01110086,
based,2.008779501,
president,2.008303324,
bottle,2.007321211,
wall,2.00729145,
life,2.0070236,
muslim,2.005505789,
w…,,
//t.co/ohcth0tzuv,2.004345109,
longer,2.002708253,
bannon,2.002708253,
hamilton,2.001696378,
cast,2.001696378,
must,2.001398768,
enjoying,2.001220202,
//t…,,
tonight,2.000803548,
party,2.000773786,
need,2.000773786,
w/,2.00059522,
awesome,2.000565459,
positive,2.000416654,
showing,2.000416654,
*coke,2.000357132,
reaction,2.000357132,
2-Jan,2.000357132,
exact,2.000357132,
acceptance*,2.000357132,
promotes,2.000357132,
end,2.000357132,
tv,2.000327371,
facing,2.00029761,
c'mon,2.000238088,
//t.co/pp2y82wpms,2.000238088,
knock,2.000238088,
gim,2.000238088,
sjw,2.000238088,
whosasnowflakenow,2.000238088,
lil,2.000238088,
yer,2.000238088,
feelrs,2.000238088,
guess,2.000238088,
shot,2.000208327,
4ward,2.000178566,
beverages,2.000178566,
handle,2.000178566,
lyk,2.000178566,
tide,2.000178566,
looking,2.000178566,
mcdo,2.000178566,
half,2.000178566,
etc,2.000178566,
mixed,2.000178566,
dtby,2.000178566,
cant,2.000178566,
nescafé,,
aldub,2.000178566,
color,2.000178566,
puppy,2.000178566,
laugh,2.000178566,
magnolia,2.000178566,
endorsements,2.000178566,
colors,2.000178566,
tnt,2.000178566,
//t.co/jewchuddr4,2.000119044,
aweful,2.000119044,
hated,2.000119044,
.no,2.000119044,
//t.co/3fir7ktuoq,2.000119044,
‼‼‼‼‼this,,
//t.co/cxe1xoumh3,2.000119044,
coke👿🤣👿🤣👿🤣,,
husband,2.000119044,
original,2.000089283,
asked,2.000089283,
black,2.000089283,
bottles,2.000089283,
show,2.000059522,
88,2.000059522,
thinkin,2.000059522,
gooy,2.000059522,
brady,2.000059522,
freaking,2.000059522,
engchat,2.000059522,
ncte,2.000059522,
sip,2.000059522,
🙃,,
cute,2.000059522,
bitching,2.000059522,
realistic,2.000059522,
shit,2.000059522,
bunch,2.000059522,
dan,2.000059522,
aww,2.000059522,
newsradio,2.000059522,
li,2.000059522,
hseduchat,2.000059522,
werent,2.000059522,
pa,2.000059522,
kfbk,2.000059522,
sinc,2.000059522,
equal,2.000059522,
tries,2.000059522,
jersey,2.000059522,
mitchinson,2.000059522,
//t.co/jmom17a9yt,2.000059522,
kid,2.000059522,
lefts,2.000059522,
//t.co/nhmkxvd7t4,2.000059522,
vomiting,2.000059522,
c,2.000059522,
trumpydumpties,2.000059522,
//t.co/2ornkuhdn6,2.000059522,
hunkygayjesus,2.000059522,
now.why,2.000059522,
*every,2.000059522,
//t.co/o3tbxlfcve,2.000059522,
watering,2.000059522,
theirselves,2.000059522,
else,2.000059522,
frozen,2.000059522,
mouth,2.000059522,
though,2.000059522,
mikehellershow,2.000059522,
crybabies,2.000059522,
western,2.000059522,
free,2.000059522,
enjoy,2.000059522,
workers,2.000059522,
wan,2.000059522,
..the,2.000059522,
#NAME?,2.000059522,
representation,2.000059522,
strange,2.000029761,
omg,2.000029761,
far,2.000029761,
speak,2.000029761,
christian,2.000029761,
haters,2.000029761,
sense,2.000029761,
FALSE,2.000029761,
marketing,2.000029761,
tears,2.000029761,
worth,2.000029761,
watchers,2.000029761,
entire,2,
founded,2,
'real,2,
another,2,
told,2,
poison,2,
2017marketingp6,2,
two,2,
coke’s,,
john,2,
cokezero,2,
fyi,2,
smart,2,
followed,2,
bless,2,
talking,2,
knows,2,
realize,2,
watched,2,
look,2,
sorry,2,
stick,2,
propnutal,2,
making,2,
soul,2,
bad,2,
promote,2,
offensive,2,
related,2,
2017marketingp1,2,
tell,2,
looks,2,
politics,2,
abt,2,
work,2,
quite,2,
triggered,2,
story,2,
anti,2,
reboot,2,
amazing,2,
pescigotpepsi,2,
outrage,2,
yeah,2,
sensitive,2,
long,2,
sounds,2,
❤️,,
wonder,2,
list,2,
forgive,2,
gives,2,
yesterday,2,
eyes,2,
//t.co/imjacql3wj,2,
song,2,
sharia,2,
accept,2,
84lumbernews,2,
heartwarming,2,
bet,2,
w,2,
okay,2,
sucks,2,
someone,2,
kia,2,
greatest,2,
multilingual,2,
fact,2,
drank,2,
thanks,2,
sappy,2,
store,2,
ya,2,
yet,2,
finally,2,
focus,2,
_learner4life_,2,
🤔,,
felt,2,
humanity,2,
forever,2,
football,2,
smartnews,2,
nc,2,
lady,2,
tomilahren,2,
check,2,
ones,2,
happy,2,
😂😂,,
use,2,
water,2,
1971,2,
teared,2,
drjohn76533054,2,
set,2,
keep,2,
native,2,
itzzkait,2,
emhs,2,
//t.co/8omgre8ppu,1.23862385,
alexcanrelate,1.23862385,
fatboy_sse,1.201571382,
worldstar,1.201571382,
😂,,
//t.co/1env4xsdlb,1.201571382,
rapspotlights,1.198625041,
//t.co/mj4yesl17w,1.198625041,
//t.co/ivpouun2wx,1.084551055,
vinehumor,1.084551055,
pisses,1.036308443,
racist-bigots,1.036308443,
//t.co/zye7j4ewx2,1.036308443,
assimilation,1.029731258,
drmartyfox,1.029731258,
sending,1.027528943,
war,1.027528943,
murdered,1.027528943,
zones,1.027528943,
dannyzuker,1.027528943,
//t.co/tl762fu4ol,1.027499182,
worldstarc0medy,1.027499182,
found,1.02276718,
shaunking,1.02276718,
direct,1.02276718,
rebuttal,1.02276718,
touching,1.02276718,
donald,1.02276718,
superbowlsunday,1.01110086,
fuk,1.01110086,
//t.co/hqdh1rbocz,1.009910419,
spike,1.008779501,
goldengateblond,1.008779501,
congratulations,1.008779501,
sales,1.008779501,
commercial…,,
declare,1.008779501,
somewhere,1.00729145,
trailer,1.00729145,
starts,1.00729145,
s…,,
failgop,1.00729145,
shattered,1.00729145,
side,1.00729145,
//t.co/ufcta7yzkl,1.006636707,
removed,1.006309336,
house,1.006309336,
mikebarnicle,1.006309336,
ordered,1.006309336,
goes,1.005922443,
pol…,,
halftimeshow,1.005922443,
jab,1.005922443,
imamsuhaibwebb,1.005416505,
father,1.005416505,
saving,1.005416505,
ceo,1.005416505,
risked,1.005416505,
kent,1.005416505,
necdet,1.005416505,
jews,1.005416505,
🏈😭,,
run,1.004851046,
ingridmusic,1.004851046,
mrbobbybones,1.003452278,
bu…,,
george,1.003452278,
h.w,1.003452278,
yourself”,,
titled,1.002857058,
“trump,,
buckyisotope,1.002857058,
sign,1.002708253,
order,1.002708253,
be…,,
steve,1.002708253,
executive,1.002708253,
realdonaldrumpf,1.002708253,
pressuring,1.002708253,
declaring,1.002708253,
”,,
“want,,
iconic,1.001607095,
reflects,1.001607095,
cocacolaco,1.001607095,
//t.co/mj7ygt…,,
–,,
“mean”,,
changed,1.001607095,
//t.co/pdtoirwbno,1.001398768,
henryfingjames,1.001398768,
surprised,1.001339246,
fdouglass2020,1.001339246,
*outrage*,1.001190441,
little,1.001190441,
faineg,1.001190441,
angels,1.001190441,
//t.co/jxl3yievw5,1.001190441,
face,1.00116068,
america…,,
nods,1.00116068,
